Frequency_GHz,Real_Epsilon,Imag_Epsilon,Real_Mu,Imag_Mu
0.2,3.1989526396056545,0.31158023485386194,1.4114258686856018,0.001277632732232203
0.30000000000000004,3.1646006182088255,0.24612162023763523,1.4166464763540807,0.004066728669827332
0.4,3.149486654797845,0.2171744212899579,1.42283002085335,0.008939366538074348
0.5,3.139984542506001,0.19957887198421057,1.4292264890442121,0.015986092305489464
0.6000000000000001,3.1334198086700256,0.18638988238430948,1.435188784224117,0.025057116206936958
0.7,3.128769487718812,0.17523550556953882,1.4402208936960637,0.03585101190079161
0.8,3.1254761503147708,0.16516119712597813,1.4439849013088735,0.04799077195548965
0.9000000000000001,3.12318368216454,0.15573205400905096,1.4462855656771716,0.061080282965903634
1.0,3.1216464835439224,0.14672915736582465,1.4470448249295067,0.07474200922320154
1.1,3.120687568084635,0.13803256961783478,1.4462738017083379,0.08863912098041268
1.2,3.1201755500790482,0.12957148050461387,1.4440466844616477,0.10248592156215276
1.3,3.1200106820117703,0.12130118448737617,1.4404786320369154,0.11605025060672709
1.4000000000000001,3.12011585251884,0.11319171590923723,1.4357083504559163,0.1291509291999375
1.5,3.1204305395813963,0.10522190919082369,1.42988510612899,0.14165253811525866
1.6,3.1209066233834557,0.0973761336421282,1.4231595202419114,0.15345908558018098
1.7,3.1215054158429183,0.08964241410739376,1.4156773704075571,0.1645075296167171
1.8,3.1221955102101573,0.08201130182166387,1.407575670182374,0.17476169484067472
1.9000000000000001,3.122951196925796,0.0744751677357029,1.3989804107861732,0.18420684339164897
2.0,3.1237512785400674,0.06702774254315086,1.3900054782264915,0.19284498850723783
2.1,3.1245781708895826,0.05966380576165859,1.3807523768902041,0.20069094263947512
2.2,3.1254172128575775,0.052378967842693455,1.3713104880274192,0.20776904282988137
2.3000000000000003,3.1262561302707255,0.04516951219118459,1.3617576674433631,0.21411047527424587
2.4000000000000004,3.1270846151559892,0.03803227695919125,1.3521610437937177,0.2197511162123494
2.5000000000000004,3.127893992343109,0.030964564038933322,1.342577920851256,0.22472980983084215
2.6000000000000005,3.128676952908386,0.02396406719709108,1.3330567175315173,0.22908701128749023
2.7,3.1294273392722745,0.01702881405556602,1.323637901303462,0.232863731747002
2.8000000000000003,3.1301399705774773,0.010157118353540011,1.314354886180723,0.23610073114063446
2.9000000000000004,3.130810499743814,0.0033475400324215142,1.3052348775212315,0.23883791258240422
3.0000000000000004,3.13143529562982,-0.003401148591289279,1.2962996536237221,0.24111387972913567
3.1000000000000005,3.1320113452401106,-0.010089991817337265,1.287566279514338,0.242965624794006
3.2,3.1325361720480704,-0.01671987564048825,1.2790477520239267,0.24442832044679066
3.3000000000000003,3.133007767358201,-0.02329154961146836,1.2707535777411287,0.2455351935359299
3.4000000000000004,3.133424532284203,-0.029805646012914293,1.2626902870305996,0.24631746254041736
3.5000000000000004,3.133785228419686,-0.0362626967663388,1.2548618882786406,0.24680432399690427
3.6000000000000005,3.1340889356662776,-0.04266314840024783,1.2472702670517293,0.24702297593705885
3.7,3.1343350159862777,-0.04900737534534239,1.2399155350600386,0.24699866869145212
3.8000000000000003,3.1345230820843932,-0.05529569177395497,1.2327963338058792,0.24675477533922122
3.9000000000000004,3.134652970210553,-0.06152836216322811,1.2259100976378206,0.2463128756688083
4.0,3.134724716424776,-0.06770561073209776,1.2192532806777872,0.24569284881731707
4.1000000000000005,3.1347385357840802,-0.07382762987878945,1.212821551778874,0.2449129708201992
4.2,3.134694804006928,-0.0798945877268128,1.2066099613336247,0.24399001416828148
4.300000000000001,3.1345940412479365,-0.08590663487225415,1.200613083405546,0.24293934716896995
4.4,3.134436897678058,-0.09186391041272002,1.1948251363142421,0.24177503147120402
4.5,3.1342241406163858,-0.09776654732801428,1.1892400844757838,0.2405099165633589
4.6000000000000005,3.133956643001444,-0.10361467727405625,1.1838517239904582,0.2391557304099997
4.7,3.1336353730239708,-0.10940843484436226,1.1786537541832238,0.2377231656740954
4.800000000000001,3.1332613847714406,-0.11514796134732568,1.1736398370395251,0.2362219611901425
4.9,3.1328358097578346,-0.12083340814235805,1.168803646240907,0.2346609785223522
5.000000000000001,3.1323598492315763,-0.12646493957352017,1.1641389072905983,0.2330482735703607
5.1000000000000005,3.1318347671705316,-0.13204273553545176,1.1596394300277282,0.23139116328082512
5.2,3.131261883886556,-0.137566993703105,1.1552991346587314,0.22969628759336494
5.300000000000001,3.1306425701731526,-0.14303793145389965,1.151112072284061,0.22796966679896521
5.4,3.1299782419393773,-0.1484557875083988,1.1470724407658974,0.22621675452256412
5.500000000000001,3.1292703552809473,-0.1538208233133788,1.143174596666341,0.22444248656264576
5.6000000000000005,3.128520401946288,-0.15913332418920464,1.1394130638840154,0.2226513258321295
5.7,3.1277299051608396,-0.1643936002616668,1.1357825395284011,0.2208473036489677
5.800000000000001,3.1269004157777647,-0.1696019871968786,1.1322778974942076,0.2190340576235069
5.9,3.126033508727239,-0.1747588467564193,1.1288941901312257,0.2172148663842587
6.000000000000001,3.125130779739981,-0.179864567188649,1.1256266483472455,0.21539268137545695
6.1000000000000005,3.1241938423235944,-0.18491956347095675,1.1224706804315776,0.21357015594951986
6.2,3.1232243249728002,-0.18992427741666523,1.1194218698435736,0.21174967196601996
6.300000000000001,3.122223868596837,-0.19487917765934726,1.1164759721733597,0.2099333640965187
6.4,3.121194124149066,-0.1997847595264246,1.113628911450043,0.20812314202206245
6.500000000000001,3.120136750445477,-0.20464154481310567,1.1108767759451834,0.2063207106975786
6.6000000000000005,3.1190534121600955,-0.20945008146695948,1.108215813595809,0.2045275888450715
6.7,3.1179457779865056,-0.21421094319272105,1.1056424271510878,0.20274512582557386
6.800000000000001,3.1168155189557085,-0.21892472898626483,1.1031531691295589,0.20097451702836255
6.9,3.115664306901421,-0.2235920626060669,1.1007447366591057,0.1992168179050798
7.000000000000001,3.114493813064688,-0.2282135919899044,1.098413966259335,0.19747295676614915
7.1000000000000005,3.113305706830385,-0.23278998862399358,1.0961578286153708,0.19574374644727066
7.2,3.112101654588726,-0.2373219468712553,1.0939734233829872,0.19402989494480627
7.300000000000001,3.110883318715514,-0.24181018326492498,1.0918579740573615,0.192332015110542
7.4,3.109652356665198,-0.24625543577325354,1.0898088229312146,0.190650633488593
7.500000000000001,3.1084104201713725,-0.25065846304062467,1.087823426162623,0.1889861983700914
7.6000000000000005,3.1071591545496218,-0.255020043610004,1.0858993489681898,0.1873390871347367
7.7,3.105900198097972,-0.25934097513124293,1.0840342609533682,0.18570961294225016
7.800000000000001,3.1046351815905613,-0.2636220735594013,1.0822259315885017,0.18409803083124027
7.9,3.103365727860389,-0.26786417234689497,1.08047222583645,0.18250454327791452
8.0,3.1020934514672325,-0.27206812163295435,1.078771099935413,0.18092930526242632
8.1,3.1008199584471674,-0.2762347874335581,1.077120597338733,0.17937242888640972
8.2,3.0995468461402056,-0.2803650508347113,1.075518844811931,0.1778339875813743
8.299999999999999,3.098275703092927,-0.28445980719165914,1.0739640486859985,0.1763140199441026
8.4,3.0970081090330424,-0.28851996533635,1.0724544912649718,0.17481253323196622
8.5,3.0957456349131487,-0.29254644679521863,1.0709885273850195,0.1733295065481407
8.6,3.094489843021001,-0.2965401850191143,1.06956458112166,0.17186489374402492
8.7,3.09324228715389,-0.30050212462696485,1.0681811426412249,0.17041862606373162
8.799999999999999,3.092004512854824,-0.3044332206645614,1.066836765192345,0.16899061455330192
8.9,3.0907780577084236,-0.30833443787964016,1.0655300622329695,0.1675807522552761
9.0,3.089564451694553,-0.3122067500142334,1.0642597046882318,0.16618891620741616
9.1,3.0883652175979104,-0.31605113911509425,1.0630244183344033,0.1648149692627074
9.2,3.087181871471914,-0.31986859486281144,1.0618229813040945,0.16345876174624377
9.299999999999999,3.086015923155411,-0.32366011392006866,1.0606542217078776,0.1621201329632208
