Material: 80 µm 49.4%/vol in epoxy, ~3.0 g/cc
================================================================================

 Frequency_GHz  eps1_real  eps1_imag  eps1_magnitude  eps1_phase_deg  eps2_real  eps2_imag  eps2_magnitude  eps2_phase_deg  chi_m_real   chi_m_imag  mu_real      mu_imag  eps1_loss_tangent  eps2_loss_tangent
      0.016298   7.697914   0.190131        7.700262        1.414862  10.226040  -1.587762       10.348569       -8.825646    6.194835 2.019705e-03 7.194835 2.019705e-03           0.024699           0.155267
      0.017886   7.611162   0.202338        7.613851        1.522815   9.819008  -1.358644        9.912559       -7.877924    6.197811 2.662636e-03 7.197811 2.662636e-03           0.026584           0.138369
      0.019630   7.526204   0.214066        7.529248        1.629212   9.444543  -1.152331        9.514581       -6.956290    6.201370 3.508298e-03 7.201370 3.508298e-03           0.028443           0.122010
      0.021544   7.443004   0.225332        7.446414        1.734061   9.100089  -0.966608        9.151282       -6.063198    6.205621 4.619503e-03 7.205621 4.619503e-03           0.030274           0.106220
      0.023645   7.361524   0.236151        7.365310        1.837369   8.783292  -0.799467        8.819601       -5.200805    6.210687 6.077876e-03 7.210687 6.077876e-03           0.032079           0.091021
      0.025950   7.281727   0.246541        7.285900        1.939148   8.491978  -0.649090        8.516748       -4.370943    6.216715 7.989142e-03 7.216715 7.989142e-03           0.033857           0.076436
      0.028480   7.203580   0.256516        7.208145        2.039413   8.224141  -0.513831        8.240177       -3.575097    6.223868 1.048967e-02 7.223868 1.048967e-02           0.035610           0.062478
      0.031257   7.127045   0.266093        7.132011        2.138179   7.977935  -0.392196        7.987569       -2.814401    6.232331 1.375450e-02 7.232331 1.375450e-02           0.037336           0.049160
      0.034305   7.052089   0.275286        7.057460        2.235467   7.751656  -0.282835        7.756814       -2.089628    6.242309 1.800699e-02 7.242309 1.800699e-02           0.039036           0.036487
      0.037649   6.978679   0.284111        6.984460        2.331299   7.543734  -0.184523        7.545991       -1.401203    6.254022 2.353019e-02 7.254022 2.353019e-02           0.040711           0.024460
      0.041320   6.906780   0.292584        6.912974        2.425702   7.352723  -0.096151        7.353352       -0.749213    6.267702 3.067981e-02 7.267702 3.067981e-02           0.042362           0.013077
      0.045349   6.836359   0.300718        6.842970        2.518705   7.177291  -0.016714        7.177310       -0.133428    6.283584 3.989848e-02 7.283584 3.989848e-02           0.043988           0.002329
      0.049770   6.767385   0.308529        6.774414        2.610343   7.016210   0.054699        7.016423        0.446677    6.301890 5.173061e-02 7.301890 5.173061e-02           0.045591           0.007796
      0.054623   6.699825   0.316033        6.707275        2.700655   6.868350   0.118916        6.869380        0.991894    6.322809 6.683653e-02 7.322809 6.683653e-02           0.047170           0.017314
      0.059948   6.633648   0.323242        6.641519        2.789684   6.732673   0.176684        6.734991        1.503251    6.346475 8.600425e-02 7.346475 8.600425e-02           0.048728           0.026243
      0.065793   6.568823   0.330174        6.577116        2.877479   6.608219   0.228684        6.612175        1.981985    6.372927 1.101562e-01 7.372927 1.101562e-01           0.050264           0.034606
      0.072208   6.505319   0.336841        6.514033        2.964093   6.494110   0.275534        6.499952        2.429509    6.402072 1.403479e-01 7.402072 1.403479e-01           0.051779           0.042428
      0.079248   6.443104   0.343261        6.452242        3.049589   6.389535   0.317798        6.397433        2.847387    6.433640 1.777554e-01 7.433640 1.777554e-01           0.053276           0.049737
      0.086975   6.382151   0.349447        6.391710        3.134033   6.293750   0.355986        6.303809        3.237302    6.467135 2.236483e-01 7.467135 2.236483e-01           0.054754           0.056562
      0.095455   6.322427   0.355416        6.332409        3.217500   6.206071   0.390566        6.218348        3.601037    6.501795 2.793467e-01 7.501795 2.793467e-01           0.056215           0.062933
      0.104762   6.263904   0.361182        6.274308        3.300074   6.125869   0.421965        6.140385        3.940450    6.536553 3.461617e-01 7.536553 3.461617e-01           0.057661           0.068882
      0.114976   6.206551   0.366764        6.217378        3.381845   6.052568   0.450575        6.069316        4.257456    6.570023 4.253228e-01 7.570023 4.253228e-01           0.059093           0.074444
      0.126186   6.150340   0.372176        6.161590        3.462917   5.985637   0.476758        6.004594        4.554010    6.600498 5.178983e-01 7.600498 5.178983e-01           0.060513           0.079650
      0.138489   6.095241   0.377435        6.106916        3.543401   5.924591   0.500845        5.945723        4.832099    6.625979 6.247149e-01 7.625979 6.247149e-01           0.061923           0.084537
      0.151991   6.041224   0.382561        6.053325        3.623421   5.868984   0.523145        5.892254        5.093729    6.644218 7.462866e-01 7.644218 7.462866e-01           0.063325           0.089137
