Frequency_Hz,Real_Epsilon,Imag_Epsilon,Mu
0.2,6.613576055717659,0.0010197908424355315,1.0
0.30000000000000004,6.610605754743844,0.0010274574163692926,1.0
0.4,6.60853418893736,0.0010353438702737706,1.0
0.5,6.606954708841075,0.0010433516391432443,1.0
0.6000000000000001,6.605686300444758,0.001051436847529513,1.0
0.7,6.604632453411989,0.0010595761019982718,1.0
0.8,6.603735582958012,0.001067755443895973,1.0
0.9000000000000001,6.602958558393384,0.0010759658722350306,1.0
1.0,6.6022760346426725,0.0010842012426258206,1.0
1.1,6.601669938816109,0.0010924571733111385,1.0
1.2,6.60112692968111,0.001100730429392464,1.0
1.3,6.6006368779041935,0.0011090185544707341,1.0
1.4000000000000001,6.600191911317873,0.0011173196392379693,1.0
1.5,6.599785790495972,0.0011256321701291075,1.0
1.6,6.599413486342052,0.0011339549269378173,1.0
1.7,6.599070886012274,0.0011422869115380264,1.0
1.8,6.5987545830553795,0.0011506272970180187,1.0
1.9000000000000001,6.598461724390964,0.0011589753905909977,1.0
2.0,6.598189896599534,0.001167330606034054,1.0
2.1,6.597937039995784,0.0011756924428612291,1.0
2.2,6.597701382717557,0.0011840604703479884,1.0
2.3000000000000003,6.597481389484093,0.0011924343151112353,1.0
2.4000000000000004,6.597275721272341,0.0012008136513356501,1.0
2.5000000000000004,6.597083203233684,0.0012091981929973393,1.0
2.6000000000000005,6.596902798909478,0.0012175876876141943,1.0
2.7,6.596733589317467,0.0012259819111768533,1.0
2.8000000000000003,6.596574755845021,0.0012343806640023609,1.0
2.9000000000000004,6.596425566146854,0.0012427837673160559,1.0
3.0000000000000004,6.596285362435476,0.0012511910604134074,1.0
3.1000000000000005,6.596153551693167,0.0012596023982875937,1.0
3.2,6.596029597439128,0.0012680176496340221,1.0
3.3000000000000003,6.595913012764412,0.0012764366951621333,1.0
3.4000000000000004,6.5958033544073515,0.0012848594261594046,1.0
3.5000000000000004,6.595700217688385,0.0012932857432636517,1.0
3.6000000000000005,6.595603232158897,0.001301715555408393,1.0
3.7,6.595512057846595,0.0013101487789128063,1.0
3.8000000000000003,6.59542638200192,0.0013185853366931204,1.0
3.9000000000000004,6.595345916267332,0.0013270251575765073,1.0
4.0,6.595270394205181,0.0013354681757018884,1.0
4.1000000000000005,6.595199569131028,0.0013439143299947734,1.0
4.2,6.595133212208188,0.001352363563705415,1.0
4.300000000000001,6.595071110766616,0.0013608158240013437,1.0
4.4,6.5950130668151665,0.001369271061606764,1.0
4.5,6.59495889572112,0.0013777292304825023,1.0
4.6000000000000005,6.594908425034927,0.001386190287541147,1.0
4.7,6.594861493441405,0.0013946541923928388,1.0
4.800000000000001,6.5948179498214134,0.0014031209071178401,1.0
4.9,6.594777652410322,0.0014115903960625657,1.0
5.000000000000001,6.594740468041536,0.0014200626256562268,1.0
5.1000000000000005,6.594706271464982,0.0014285375642456464,1.0
5.2,6.594674944731783,0.001437015181946117,1.0
5.300000000000001,6.594646376637588,0.0014454954505064763,1.0
5.4,6.594620462217951,0.001453978343186793,1.0
5.500000000000001,6.594597102290036,0.0014624638346472912,1.0
5.6000000000000005,6.594576203035637,0.0014709519008472781,1.0
5.7,6.594557675621116,0.001479442518953028,1.0
5.800000000000001,6.594541435850418,0.0014879356672536778,1.0
5.9,6.594527403847752,0.0014964313250843163,1.0
6.000000000000001,6.594515503766954,0.001504929472755542,1.0
6.1000000000000005,6.594505663524897,0.0015134300914888424,1.0
6.2,6.594497814556563,0.0015219331633572327,1.0
6.300000000000001,6.594491891589742,0.0015304386712306467,1.0
6.4,6.594487832437476,0.0015389465987256266,1.0
6.500000000000001,6.594485577806593,0.0015474569301589204,1.0
6.6000000000000005,6.594485071120873,0.0015559696505046171,1.0
6.7,6.594486258357518,0.0015644847453545135,1.0
6.800000000000001,6.594489087895739,0.0015730022008814118,1.0
6.9,6.594493510376399,0.001581522003805103,1.0
7.000000000000001,6.594499478571769,0.0015900441413607964,1.0
7.1000000000000005,6.594506947264508,0.0015985686012697886,1.0
7.2,6.594515873135132,0.0016070953717121877,1.0
7.300000000000001,6.5945262146572325,0.0016156244413015157,1.0
7.4,6.594537931999835,0.0016241557990610452,1.0
7.500000000000001,6.5945509869363095,0.0016326894344017165,1.0
7.6000000000000005,6.594565342759317,0.0016412253371015273,1.0
7.7,6.59458096420132,0.0016497634972862663,1.0
7.800000000000001,6.594597817360231,0.0016583039054114852,1.0
7.9,6.594615869629777,0.0016668465522456303,1.0
8.0,6.594635089634275,0.0016753914288542273,1.0
8.1,6.594655447167437,0.0016839385265850506,1.0
8.2,6.594676913134945,0.0016924878370542054,1.0
8.299999999999999,6.594699459500505,0.0017010393521330516,1.0
8.4,6.594723059235125,0.001709593063935912,1.0
8.5,6.5947476862694145,0.0017181489648085075,1.0
8.6,6.594773315448652,0.0017267070473170698,1.0
8.7,6.594799922490465,0.001735267304238083,1.0
8.799999999999999,6.594827483944933,0.001743829728548613,1.0
8.9,6.594855977156932,0.0017523943134171815,1.0
9.0,6.594885380230592,0.001760961052195151,1.0
9.1,6.594915671995725,0.0017695299384085884,1.0
9.2,6.594946831976076,0.0017781009657505697,1.0
9.299999999999999,6.5949788403592935,0.001786674128073901,1.0
9.4,6.595011677968523,0.0017952494193842353,1.0
9.5,6.595045326235477,0.001803826833833543,1.0
9.6,6.595079767174938,0.001812406365713935,1.0
9.7,6.595114983360574,0.0018209880094517982,1.0
9.8,6.5951509579019945,0.0018295717596022373,1.0
9.9,6.595187674422976,0.0018381576108437952,1.0
10.0,6.595225117040778,0.001846745557973441,1.0
