Material 1,Material 2,Material 3,Material 4,Material 5,Thickness 1 (m),Thickness 2 (m),Thickness 3 (m),Thickness 4 (m),Thickness 5 (m),Total Thickness (m),Max Reflection (dB)
6,7,10,8,8,0.0019229787088854689,0.00041076984489220504,0.0005631156805318104,0.00048245552960028253,0.0002317029616471091,0.0036110227255568756,-8.892388736487012
8,4,11,8,10,0.0019268621171882445,0.00027906247427674684,0.0003352688024324554,0.0006796893376611271,0.0006584661818317015,0.003879348913390275,-13.02723492993447
4,7,6,10,8,0.0014988388975643297,0.001374806968922289,0.002286015069545905,0.0005229853361479192,0.0006005346735563504,0.006283180945736794,-14.093292523699212
9,12,10,9,8,0.0014085638566978683,0.001824366504825565,0.00018593345326181504,0.0016392902918667387,0.002929180514443038,0.007987334621095025,-15.436772201194888
4,7,7,8,10,0.0045031425716750405,0.00047393634079430233,0.0010125113922558545,0.0019403084501308323,0.0011209942841439902,0.00905089303900002,-15.163755094402443
4,5,12,12,9,0.000981186457185912,0.0014089401250418976,0.004631850432633073,0.00011714259761262445,0.0021606931729392775,0.009299812785412784,-16.81636667164224
