Frequency_GHz,Real_Epsilon_MGT,Imag_Epsilon_MGT,Real_Mu_MGT,Imag_Mu_MGT
1.7,3.494411016504842,0.2604232908823723,1.6390400678705608,0.7678641666262676
1.8,3.4959866093356133,0.2611742228413307,1.598637755244848,0.7533383481658035
1.9000000000000001,3.4974764019516833,0.26191677948381725,1.562269718021822,0.7389244032300926
2.0,3.498878929344036,0.26264332117437694,1.529249693238188,0.7247214043038244
2.1,3.5001932093997765,0.2633472566620986,1.499066322041278,0.7107667097361802
2.2,3.5014186261407625,0.2640228894430175,1.4713312919402681,0.697071796786384
2.3000000000000003,3.502554842058954,0.2646652935684157,1.4457425979798226,0.6836388735621258
2.4000000000000004,3.5036017316781742,0.26527021229554937,1.422059257160062,0.6704679877347873
2.5000000000000004,3.504559330807618,0.26583397464034947,1.4000841027656534,0.6575596209206039
2.6000000000000005,3.5054277975371,0.26635342609222945,1.379652090788873,0.6449152659969246
2.7,3.5062073821168593,0.2668258706290747,1.3606223080828568,0.6325372020450022
2.8000000000000003,3.5068984036294686,0.26724902182023247,1.342872451516565,0.6204280329530825
2.9000000000000004,3.50750123190388,0.26762096129153295,1.3262949563081055,0.6085902340100708
3.0000000000000004,3.508016273511242,0.2679401031939876,1.310794229275276,0.5970257957942421
3.1000000000000005,3.5084439609650273,0.2682051635984668,1.2962846275578312,0.5857359835453758
3.2,3.5087847444556823,0.26841513395485384,1.282688945280912,0.5747212005574307
3.3000000000000003,3.5090390856039417,0.2685692579221381,1.2699372507402686,0.5639809343341586
3.4000000000000004,3.5092074528319452,0.26866701100745705,1.2579659692949738,0.5535137634349244
3.5000000000000004,3.509290318038097,0.2687080825558818,1.2467171417390754,0.5433174057339669
3.6000000000000005,3.509288154327467,0.2686923597152318,1.2361378107186447,0.5333887926653549
3.7,3.509201434599984,0.2686199130662057,1.2261795028354447,0.5237241577871583
3.8000000000000003,3.509030630837533,0.2684909836612649,1.2167977840892812,0.5143191312303153
3.9000000000000004,3.5087762139611915,0.2683059712587871,1.2079518729925085,0.5051688341905313
4.0,3.508438654153337,0.26806542357411706,1.1996043001764893,0.4962679696113256
4.1000000000000005,3.508018421557862,0.2677700263979462,1.1917206063445627,0.48761090668332896
4.2,3.5075159872862565,0.26742059445619415,1.1842690724976859,0.47919175785022783
4.300000000000001,3.506931824668963,0.26701806290525854,1.177220477789204,0.47100444775866324
4.4,3.506266410700604,0.2665634793729135,1.170547881366508,0.4630427740965794
4.5,3.505520227635204,0.2660579964688924,1.1642264252704004,0.4553004605951809
4.6000000000000005,3.5046937646935628,0.26550286470078155,1.1582331559809715,0.44777120267283965
4.7,3.503787519849831,0.2648994257406523,1.152546862583853,0.4404487063122553
4.800000000000001,3.502802001668517,0.26424910599621076,1.1471479298241956,0.43332672081267176
4.9,3.5017377311664557,0.26355341044736813,1.142018204545298,0.4263990660673566
5.000000000000001,3.5005952436772083,0.2628139167152574,1.1371408741930955,0.41965965499761293
5.1000000000000005,3.4993750906977765,0.26203226933599644,1.1325003562192626,0.4131025117388335
5.2,3.4980778416996317,0.26121017421605985,1.1280821973429702,0.40672178612887827
5.300000000000001,3.4967040858879335,0.26034939325008655,1.1238729817402482,0.4005117649994741
5.4,3.495254433894459,0.25945173908539343,1.1198602473244643,0.3944668807207823
5.500000000000001,3.4937295193912314,0.2585190700204781,1.1160324093644918,0.3885817173999866
5.6000000000000005,3.492130000613288,0.25755328502742514,1.1123786907607418,0.382851015088092
5.7,3.490456561780184,0.2565563188904187,1.1088890583649178,0.3772696723058634
5.800000000000001,3.488709914407151,0.25553013745458997,1.1055541647881795,0.37183274716035003
5.9,3.486890798497854,0.25447673298116497,1.1023652951953233,0.36653545728782483
6.000000000000001,3.484999983611869,0.25339811960641856,1.099314318630276,0.3613731788271452
6.1000000000000005,3.483038269800996,0.252296328903258,1.09639364346123,0.356341444599326
6.2,3.481006488409556,0.2511734055453985,1.0935961765726214,0.3514359416442248
6.300000000000001,3.4789055027348175,0.2500314030750706,1.090915285966295,0.34665250824343846
6.4,3.4767362085446343,0.24887237977601404,1.0883447664659633,0.3419871305394448
6.500000000000001,3.474499534450333,0.24769839465420235,1.0858788082477915,0.33743593884445866
6.6000000000000005,3.472196442133769,0.24651150352928322,1.0835119679459089,0.3329952037180951
6.7,3.469827926428389,0.2453137552401668,1.0812391421051428,0.3286613318805012
6.800000000000001,3.4673950152549313,0.24410718796850564,1.079055542774492,0.3244308620169068
6.9,3.4648987694132667,0.24289382568403892,1.076956675054063,0.3203004605203099
7.000000000000001,3.4623402822326526,0.24167567471589876,1.0749383164255555,0.3162669172111081
7.1000000000000005,3.459720679083389,0.24045472045401717,1.0729964977120647,0.31232714106569537
7.2,3.457041116753618,0.23923292418472997,1.0711274855271788,0.30847815598025585
7.300000000000001,3.4543027826956645,0.23801222006456735,1.0693277660861602,0.30471709659103513
7.4,3.4515068941469145,0.2367945122360344,1.067594030263634,0.30104120416817687
7.500000000000001,3.44865469713083,0.2355816720889459,1.0659231597926815,0.2974478225966267
7.6000000000000005,3.445747465344203,0.2343755356705892,1.0643122145097499,0.29393439445460107
7.7,3.442786498937266,0.23317790124764365,1.0627584205583906,0.29049845719755657
7.800000000000001,3.43977312319362,0.23199052702239922,1.0612591594726106,0.2871376394534539
7.9,3.436708687117404,0.23081512900540452,1.0598119580676792,0.28384965743331425
8.0,3.433594561935367,0.2296533790462178,1.0584144790726158,0.28063231145955697
8.1,3.430432139521794,0.2285069030234696,1.0570645124443736,0.2774834826133702
8.2,3.427222830754418,0.22737727919494818,1.0557599673089768,0.2744011295013239
8.299999999999999,3.423968063809656,0.22626603670792664,1.054498864479634,0.271383285140601
8.4,3.4206692824054765,0.22517465426942648,1.0532793295061635,0.2684280539615217
8.5,3.4173279440003914,0.224104558975619,1.0520995862139952,0.26553360892549294
8.6,3.4139455179569316,0.2230571252990419,1.0509579506945648,0.2626981887560658
8.7,3.4105234836779754,0.22203367423181844,1.0498528257121666,0.25992009528044363
8.799999999999999,3.407063328724157,0.2210354725825733,1.0487826954952617,0.25719769087851607
8.9,3.4035665469204406,0.22006373242426838,1.047746120882923,0.2545293960363007
9.0,3.4000346364597216,0.21911961068972544,1.0467417347995371,0.2519136870005345
9.1,3.39646909801114,0.21820420891117784,1.0457682380330966,0.24934909353106607
